id,host_is_superhost,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,weekly_price,monthly_price,cleaning_fee,guests_included,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
4872699,f,98107,House,Entire home/apt,6,1.5,3,4,"$1,172.00 ",,$180.00 ,1,100,8,10,10,10,10,8
5470629,t,98107,Apartment,Entire home/apt,2,1,1,1,,,$60.00 ,2,99,10,10,10,10,10,10
2950213,t,98107,Apartment,Entire home/apt,4,1,1,1,"$1,500.00 ","$5,500.00 ",,4,95,10,9,10,10,10,9
9015088,f,98117,Apartment,Entire home/apt,5,2,2,2,,,$50.00 ,4,100,10,10,10,10,10,10
3979496,t,98107,House,Private room,2,1,1,1,$450.00 ,"$1,800.00 ",,2,95,10,10,10,10,10,10
7501919,f,98107,Apartment,Entire home/apt,2,1,1,2,,,$30.00 ,1,97,8,10,10,10,10,9
4732995,f,98107,Apartment,Entire home/apt,3,1,1,1,,,$50.00 ,1,95,10,9,10,10,10,10
7134759,f,98107,Townhouse,Private room,2,1,1,1,,,$55.00 ,1,98,10,10,10,10,10,10
4532538,f,98107,House,Entire home/apt,5,3,3,5,,,$150.00 ,1,100,10,10,10,10,10,10
7534398,f,98107,Apartment,Private room,3,1,1,1,$350.00 ,"$1,250.00 ",,2,100,10,10,10,10,10,10
9387189,f,98107,Apartment,Entire home/apt,3,1,0,1,,,$25.00 ,2,100,10,10,10,10,10,10
6337492,f,98107,Apartment,Entire home/apt,2,1,1,1,$665.00 ,,,2,92,9,8,9,10,10,10
10231701,f,98107,Townhouse,Private room,2,1.5,1,1,,,$25.00 ,1,,,,,,,
1609922,t,98107,House,Entire home/apt,5,1.5,2,2,,,$90.00 ,2,94,10,9,10,10,10,9
4236723,f,98107,House,Entire home/apt,6,1.5,2,3,"$1,200.00 ","$4,950.00 ",,4,94,9,9,10,10,10,9
7843837,f,98107,Apartment,Entire home/apt,4,1,1,1,,,,1,,,,,,,
3076065,t,98107,House,Entire home/apt,5,3,2,2,,,$120.00 ,1,96,10,10,9,10,10,9
6423204,f,98107,House,Entire home/apt,3,1,2,2,,,$40.00 ,2,91,9,9,10,10,9,9
8338849,f,98107,House,Private room,2,1,1,1,,,,1,94,10,10,10,10,10,10
6401209,t,98107,House,Entire home/apt,8,2.5,4,5,"$2,100.00 ","$7,000.00 ",$200.00 ,6,97,10,10,10,10,10,10
20928,t,98107,House,Entire home/apt,2,1,1,1,$499.00 ,,$10.00 ,1,97,10,10,10,10,10,10
3344977,t,98107,House,Private room,2,1,1,1,$500.00 ,"$2,000.00 ",$15.00 ,1,96,10,10,10,10,10,10
7604621,f,98107,Townhouse,Entire home/apt,2,1,0,1,$525.00 ,,$35.00 ,1,95,10,10,9,10,10,9
3303978,t,98107,House,Entire home/apt,2,1,1,1,$530.00 ,"$1,600.00 ",$25.00 ,2,98,10,10,10,10,10,10
7067082,t,98107,Loft,Private room,3,1,1,1,,,$7.00 ,1,90,9,9,10,10,10,9
3121829,f,98107,House,Entire home/apt,4,2.5,3,2,$650.00 ,,$85.00 ,1,90,10,10,9,9,10,9
2539881,f,98107,Apartment,Entire home/apt,2,1,1,1,,,,1,85,8,8,10,10,10,10
3678718,t,98107,Apartment,Entire home/apt,2,1,0,1,$540.00 ,"$1,900.00 ",$50.00 ,2,96,10,10,10,10,10,10
4694479,t,98107,House,Private room,2,1,1,1,$550.00 ,"$2,000.00 ",$15.00 ,0,96,10,10,10,10,10,10
